ÇÖÇlÇ`ÇwÇhÇr ÇrÇåÇâÇç êVãªçëäîéÆÉCÉìÉfÉbÉNÉX
äÓèÄì˙,äÓèÄâøäz(â~),äÓèÄâøäzÅiï™îzã‡çƒìäéëÅj(â~),ï™îzã‡Åiê≈à¯ëOÅj(â~),èÉéëéYëçäzÅiâ≠â~Åj
2018/07/06,9987,9987,,68.10
2018/07/09,10040,10040,,69.21
2018/07/10,10234,10234,,70.85
2018/07/11,10225,10225,,71.45
2018/07/12,10204,10204,,71.72
2018/07/13,10349,10349,,72.86
2018/07/17,10322,10322,,73.04
2018/07/18,10369,10369,,73.66
2018/07/19,10346,10346,,74.11
2018/07/20,10246,10246,,73.59
2018/07/23,10202,10202,,73.58
2018/07/24,10205,10205,,73.89
2018/07/25,10323,10323,,75.23
2018/07/26,10373,10373,,75.90
2018/07/27,10377,10377,,76.27
2018/07/30,10413,10413,,76.75
2018/07/31,10385,10385,,76.90
2018/08/01,10436,10436,,77.79
2018/08/02,10430,10430,,77.98
2018/08/03,10247,10247,,77.28
2018/08/06,10259,10259,,77.63
2018/08/07,10232,10232,,77.83
2018/08/08,10339,10339,,79.20
2018/08/09,10285,10285,,79.01
2018/08/10,10264,10264,,79.06
2018/08/13,10060,10060,,77.75
2018/08/14,9924,9924,,76.88
2018/08/15,9979,9979,,77.92
2018/08/16,9724,9724,,76.37
2018/08/17,9733,9733,,77.09
2018/08/20,9742,9742,,77.61
2018/08/21,9783,9783,,78.36
2018/08/22,9887,9887,,80.05
2018/08/23,10017,10017,,81.67
2018/08/24,10039,10039,,82.21
2018/08/27,10043,10043,,82.58
2018/08/28,10220,10220,,84.37
2018/08/29,10229,10229,,84.45
2018/08/30,10305,10305,,85.94
2018/08/31,10099,10099,,84.52
2018/09/03,10067,10067,,84.41
2018/09/04,9995,9995,,84.13
2018/09/05,9963,9963,,83.87
2018/09/06,9784,9784,,83.12
2018/09/07,9706,9706,,82.79
2018/09/10,9751,9751,,83.41
2018/09/11,9699,9699,,83.33
2018/09/12,9645,9645,,83.78
2018/09/13,9652,9652,,84.28
2018/09/14,9830,9830,,86.25
2018/09/18,9779,9779,,86.31
2018/09/19,9856,9856,,87.29
2018/09/20,9997,9997,,89.28
2018/09/21,10095,10095,,90.53
2018/09/25,10129,10129,,91.46
2018/09/26,10138,10138,,91.77
2018/09/27,10187,10187,,92.21
2018/09/28,10279,10279,,93.83
2018/10/01,10284,10284,,93.76
2018/10/02,10269,10269,,94.10
2018/10/03,10114,10114,,92.68
2018/10/04,10163,10163,,94.19
2018/10/05,9937,9937,,92.07
2018/10/09,9682,9682,,89.88
2018/10/10,9705,9705,,90.52
2018/10/11,9519,9519,,89.53
2018/10/12,9251,9251,,87.69
2018/10/15,9461,9461,,90.19
2018/10/16,9384,9384,,90.34
2018/10/17,9555,9555,,93.25
2018/10/18,9555,9555,,93.74
2018/10/19,9388,9388,,92.10
2018/10/22,9415,9415,,93.09
