ÇÖÇlÇ`ÇwÇhÇr ÇrÇåÇâÇç ÉoÉâÉìÉXÅiÇWéëéYãœìôå^Åj
äÓèÄì˙,äÓèÄâøäz(â~),äÓèÄâøäzÅiï™îzã‡çƒìäéëÅj(â~),ï™îzã‡Åiê≈à¯ëOÅj(â~),èÉéëéYëçäzÅiâ≠â~Åj
2018/11/12,10535,10535,,178.51
2018/11/13,10436,10436,,176.93
2018/11/14,10471,10471,,177.53
2018/11/15,10457,10457,,178.57
2018/11/16,10465,10465,,179.21
2018/11/19,10465,10465,,179.93
2018/11/20,10437,10437,,179.86
2018/11/21,10373,10373,,179.18
2018/11/22,10424,10424,,180.73
2018/11/26,10413,10413,,180.85
2018/11/27,10478,10478,,181.99
2018/11/28,10516,10516,,183.86
2018/11/29,10568,10568,,185.34
2018/11/30,10588,10588,,186.03
2018/12/03,10620,10620,,186.74
2018/12/04,10646,10646,,187.75
2018/12/05,10535,10535,,187.04
2018/12/06,10496,10496,,186.22
2018/12/07,10488,10488,,186.08
2018/12/10,10405,10405,,185.67
2018/12/11,10371,10371,,185.56
2018/12/12,10430,10430,,187.68
2018/12/13,10464,10464,,188.90
2018/12/14,10477,10477,,189.96
2018/12/17,10422,10422,,189.67
2018/12/18,10294,10294,,187.03
2018/12/19,10272,10272,,187.67
2018/12/20,10214,10214,,188.50
2018/12/21,10078,10078,,186.32
2018/12/25,9823,9823,,182.32
2018/12/26,9886,9886,,182.44
2018/12/27,10044,10044,,185.36
2018/12/28,10058,10058,,185.62
2019/01/04,9831,9831,,183.30
2019/01/07,10016,10016,,187.16
2019/01/08,10074,10074,,190.72
2019/01/09,10120,10120,,192.59
2019/01/10,10135,10135,,193.30
2019/01/11,10189,10189,,194.75
2019/01/15,10170,10170,,194.98
2019/01/16,10209,10209,,196.16
2019/01/17,10274,10274,,198.79
2019/01/18,10322,10322,,200.08
2019/01/21,10373,10373,,201.46
2019/01/22,10361,10361,,201.63
2019/01/23,10302,10302,,200.48
2019/01/24,10338,10338,,202.35
2019/01/25,10387,10387,,203.62
2019/01/28,10424,10424,,204.58
2019/01/29,10421,10421,,204.89
2019/01/30,10439,10439,,205.25
2019/01/31,10492,10492,,207.27
2019/02/01,10535,10535,,208.33
2019/02/04,10575,10575,,209.39
2019/02/05,10611,10611,,210.76
2019/02/06,10619,10619,,211.15
2019/02/07,10582,10582,,210.41
2019/02/08,10535,10535,,209.47
2019/02/12,10586,10586,,210.50
2019/02/13,10627,10627,,212.14
2019/02/14,10641,10641,,213.54
2019/02/15,10599,10599,,212.83
2019/02/18,10638,10638,,213.83
2019/02/19,10660,10660,,215.21
2019/02/20,10697,10697,,215.96
2019/02/21,10703,10703,,217.79
2019/02/22,10703,10703,,218.35
2019/02/25,10755,10755,,219.63
2019/02/26,10778,10778,,220.48
2019/02/27,10758,10758,,220.68
2019/02/28,10745,10745,,220.81
2019/03/01,10762,10762,,221.65
2019/03/04,10803,10803,,223.13
2019/03/05,10794,10794,,225.01
2019/03/06,10780,10780,,224.87
2019/03/07,10752,10752,,224.37
2019/03/08,10671,10671,,222.81
2019/03/11,10639,10639,,222.33
2019/03/12,10748,10748,,224.42
2019/03/13,10754,10754,,225.35
2019/03/14,10782,10782,,226.75
2019/03/15,10832,10832,,228.27
2019/03/18,10850,10850,,228.68
2019/03/19,10864,10864,,230.09
2019/03/20,10887,10887,,230.95
2019/03/22,10880,10880,,231.09
2019/03/25,10732,10732,,228.52
2019/03/26,10784,10784,,229.99
2019/03/27,10853,10853,,232.05
2019/03/28,10787,10787,,231.15
2019/03/29,10835,10835,,232.79
