Ç¬Ç›ÇΩÇƒÇWéëéYãœìôÉoÉâÉìÉX
äÓèÄì˙,äÓèÄâøäz(â~),äÓèÄâøäzÅiï™îzã‡çƒìäéëÅj(â~),ï™îzã‡Åiê≈à¯ëOÅj(â~),èÉéëéYëçäzÅiâ≠â~Åj
2019/04/16,10885,10885,,78.45
2019/04/17,10870,10870,,78.47
2019/04/18,10848,10848,,78.45
2019/04/19,10849,10849,,79.15
2019/04/22,10859,10859,,79.21
2019/04/23,10837,10837,,79.05
2019/04/24,10852,10852,,79.16
2019/04/25,10867,10867,,79.95
2019/04/26,10816,10816,,79.57
2019/05/07,10741,10741,,79.02
2019/05/08,10633,10633,,79.65
2019/05/09,10588,10588,,82.96
2019/05/10,10556,10556,,82.89
2019/05/13,10571,10571,,83.10
2019/05/14,10495,10495,,82.97
2019/05/15,10535,10535,,83.29
2019/05/16,10552,10552,,83.53
2019/05/17,10604,10604,,84.08
2019/05/20,10605,10605,,84.25
2019/05/21,10569,10569,,84.67
2019/05/22,10610,10610,,85.55
2019/05/23,10596,10596,,85.61
2019/05/24,10538,10538,,85.18
2019/05/27,10546,10546,,85.24
2019/05/28,10551,10551,,85.31
2019/05/29,10513,10513,,84.99
2019/05/30,10502,10502,,86.59
2019/05/31,10459,10459,,86.27
2019/06/03,10391,10391,,85.73
2019/06/04,10404,10404,,86.62
2019/06/05,10464,10464,,89.53
2019/06/06,10506,10506,,89.90
2019/06/07,10546,10546,,90.33
2019/06/10,10603,10603,,91.05
2019/06/11,10635,10635,,91.32
2019/06/12,10671,10671,,91.63
2019/06/13,10635,10635,,92.00
2019/06/14,10653,10653,,92.16
2019/06/17,10636,10636,,92.02
2019/06/18,10630,10630,,91.97
2019/06/19,10700,10700,,93.59
2019/06/20,10719,10719,,93.76
2019/06/21,10728,10728,,93.90
2019/06/24,10711,10711,,94.28
2019/06/25,10710,10710,0,94.48
2019/06/26,10670,10670,,94.18
2019/06/27,10682,10682,,95.41
2019/06/28,10717,10717,,96.18
2019/07/01,10800,10800,,97.13
2019/07/02,10840,10840,,97.70
2019/07/03,10820,10820,,97.52
2019/07/04,10880,10880,,101.50
2019/07/05,10906,10906,,101.76
2019/07/08,10886,10886,,101.58
2019/07/09,10894,10894,,101.69
2019/07/10,10894,10894,,101.94
2019/07/11,10893,10893,,101.98
2019/07/12,10894,10894,,102.48
2019/07/16,10876,10876,,102.41
2019/07/17,10887,10887,,102.53
2019/07/18,10816,10816,,102.21
2019/07/19,10848,10848,,103.20
2019/07/22,10839,10839,,103.18
2019/07/23,10847,10847,,103.29
2019/07/24,10879,10879,,104.43
2019/07/25,10891,10891,,104.55
2019/07/26,10906,10906,,104.72
2019/07/29,10878,10878,,105.74
2019/07/30,10914,10914,,106.53
2019/07/31,10885,10885,,106.68
2019/08/01,10873,10873,,106.59
2019/08/02,10700,10700,,105.84
2019/08/05,10597,10597,,107.28
2019/08/06,10467,10467,,106.00
2019/08/07,10510,10510,,106.44
2019/08/08,10528,10528,,106.99
2019/08/09,10600,10600,,107.72
2019/08/13,10504,10504,,106.73
2019/08/14,10589,10589,,107.69
2019/08/15,10502,10502,,107.52
2019/08/16,10540,10540,,107.92
2019/08/19,10608,10608,,108.83
2019/08/20,10654,10654,,109.50
2019/08/21,10619,10619,,109.92
2019/08/22,10658,10658,,110.98
2019/08/23,10649,10649,,111.08
2019/08/26,10489,10489,,109.45
2019/08/27,10540,10540,,110.02
2019/08/28,10547,10547,,110.10
2019/08/29,10583,10583,,112.54
2019/08/30,10654,10654,,113.47
2019/09/02,10644,10644,,113.42
2019/09/03,10652,10652,,113.61
2019/09/04,10641,10641,,113.49
2019/09/05,10768,10768,,118.43
2019/09/06,10831,10831,,119.14
2019/09/09,10870,10870,,119.62
2019/09/10,10889,10889,,120.09
2019/09/11,10897,10897,,120.27
2019/09/12,10952,10952,,121.44
2019/09/13,11015,11015,,122.18
2019/09/17,10991,10991,,121.90
2019/09/18,10996,10996,,121.90
2019/09/19,11024,11024,,123.36
2019/09/20,11011,11011,,123.20
2019/09/24,10985,10985,,122.95
2019/09/25,10950,10950,,123.23
2019/09/26,10985,10985,,123.90
2019/09/27,11010,11010,,125.65
2019/09/30,10982,10982,,125.77
2019/10/01,11002,11002,,126.29
2019/10/02,10943,10943,,126.90
2019/10/03,10849,10849,,125.81
2019/10/04,10897,10897,,128.97
2019/10/07,10930,10930,,129.43
2019/10/08,10973,10973,,129.94
2019/10/09,10935,10935,,129.49
2019/10/10,10950,10950,,130.07
2019/10/11,11028,11028,,131.08
2019/10/15,11116,11116,,132.77
2019/10/16,11175,11175,,133.58
2019/10/17,11184,11184,,133.73
2019/10/18,11196,11196,,134.10
2019/10/21,11209,11209,,135.00
2019/10/23,11236,11236,,135.42
2019/10/24,11265,11265,,136.68
2019/10/25,11278,11278,,136.88
2019/10/28,11276,11276,,136.84
2019/10/29,11314,11314,,138.82
2019/10/30,11304,11304,,139.70
2019/10/31,11331,11331,,140.07
