ì˙ït,äÓèÄâøäz,èÉéëéYëçäz
20230601,17504.00,7172
20230602,17653.00,7219
20230605,18063.00,7412
20230606,17953.00,7365
20230607,17985.00,7386
20230608,17980.00,7362
20230609,17982.00,7361
20230612,18040.00,7387
20230613,18243.00,7494
20230614,18418.00,7598
20230615,18478.00,7637
20230616,18696.00,7724
20230619,18846.00,7805
20230620,18880.00,7799
20230621,18715.00,7731
20230622,18660.00,7697
20230623,18888.00,7790
20230626,18785.00,7774
20230627,18719.00,7771
20230628,18965.00,7890
20230629,19021.00,7920
20230630,19192.00,8006
20230703,19363.00,8085
20230704,19392.00,8058
20230705,19393.00,8108
20230706,19340.00,8086
20230707,19150.00,8024
20230710,18885.00,7906
20230711,18787.00,7888
20230712,18704.00,7881
20230713,18681.00,7881
20230714,18753.00,7917
20230718,18920.00,7996
20230719,19076.00,8090
20230720,19210.00,8177
20230721,19135.00,8151
20230724,19378.00,8271
20230725,19421.00,8309
20230726,19411.00,8334
20230727,19302.00,8290
20230728,19068.00,8195
20230731,19455.00,8374
20230801,19689.00,8485
20230802,19743.00,8535
20230803,19504.00,8453
20230804,19373.00,8427
20230807,19112.00,8326
20230808,19471.00,8501
20230809,19443.00,8510
20230810,19374.00,8483
20230814,19517.00,8551
20230815,19696.00,8658
20230816,19488.00,8573
20230817,19446.00,8570
20230818,19196.00,8470
20230821,19143.00,8450
20230822,19400.00,8577
20230823,19274.00,8525
20230824,19372.00,8587
20230825,19290.00,8546
20230828,19465.00,8633
20230829,19584.00,8700
20230830,19803.00,8837
20230831,19901.00,8876
20230901,19810.00,8781
20230904,19919.00,8841
20230905,19958.00,8872
20230906,20052.00,8914
20230907,19924.00,8862
20230908,19739.00,8797
20230911,19762.00,8801
20230912,19861.00,8860
20230913,19829.00,8892
20230914,19833.00,8916
20230915,20065.00,9032
20230919,19850.00,8948
20230920,19822.00,8965
20230921,19714.00,8876
20230922,19293.00,8723
20230925,19357.00,8752
20230926,19493.00,8835
20230927,19225.00,8768
20230928,19302.00,8831
20230929,19408.00,8898
20231002,19382.00,8914
20231003,19401.00,8972
20231004,19058.00,8862
20231005,19156.00,8905
20231006,19118.00,8896
20231010,19450.00,9067
20231011,19558.00,9136
20231012,19722.00,9301
20231013,19690.00,9289
20231016,19547.00,9236
20231017,19751.00,9297
20231018,19783.00,9353
20231019,19523.00,9237
20231020,19369.00,9162
20231023,19116.00,9044
20231024,19068.00,9030
20231025,19236.00,9134
20231026,18996.00,9041
20231027,18783.00,8968
20231030,18629.00,8964
20231031,18810.00,9074
20231101,19180.00,9309
20231102,19273.00,9368
20231106,19697.00,9625
20231107,19789.00,9661
20231108,19920.00,9757
20231109,19996.00,9784
20231110,19884.00,9732
20231113,20234.00,9879
20231114,20226.00,9872
20231115,20462.00,9991
20231116,20590.00,10027
20231117,20540.00,9991
20231120,20455.00,9924
20231121,20365.00,9863
20231122,20347.00,9898
20231124,20605.00,10028
20231127,20603.00,10039
20231128,20375.00,9941
20231129,20228.00,9933
20231130,20229.00,9968
20231201,20421.00,10077
20231204,20336.00,10047
20231205,20329.00,10080
20231206,20335.00,10102
20231207,20242.00,10053
20231208,19863.00,9875
20231211,20244.00,10079
20231212,20390.00,10148
20231213,20449.00,10213
20231214,20281.00,10139
20231215,20339.00,10188
20231218,20295.00,10183
20231219,20458.00,10302
20231220,20772.00,10492
20231221,20392.00,10300
20231222,20438.00,10347
20231225,20454.00,10381
20231226,20461.00,10454
20231227,20623.00,10537
20231228,20515.00,10609
