äÓèÄì˙,äÓèÄâøäz(â~),ï™îzã‡çƒìäéëäÓèÄâøäz(â~),èÉéëéYëçäz(â≠â~),ï™îzã‡(â~)
2023/7/13,10263,10263,99.3,
2023/7/14,10310,10310,99.77,
2023/7/18,10329,10329,99.97,
2023/7/19,10376,10376,100.42,
2023/7/20,10409,10409,101,
2023/7/21,10372,10372,100.65,
2023/7/24,10426,10426,101.34,
2023/7/25,10446,10446,101.57,
2023/7/26,10447,10447,101.62,
2023/7/27,10435,10435,101.81,
2023/7/28,10362,10362,101.17,
2023/7/31,10456,10456,102.28,
2023/8/1,10507,10507,103.06,
2023/8/2,10478,10478,102.8,
2023/8/3,10393,10393,102.99,
2023/8/4,10341,10341,102.44,
2023/8/7,10312,10312,102.15,
2023/8/8,10384,10384,102.9,
2023/8/9,10383,10383,103.03,
2023/8/10,10376,10376,107.07,
2023/8/14,10353,10353,106.82,
2023/8/15,10379,10379,107.34,
2023/8/16,10306,10306,106.6,
2023/8/17,10279,10279,106.55,
2023/8/18,10207,10207,105.83,
2023/8/21,10206,10206,105.84,
2023/8/22,10240,10240,106.21,
2023/8/23,10226,10226,106.37,
2023/8/24,10298,10298,107.12,
2023/8/25,10263,10263,106.77,
2023/8/28,10298,10298,107.13,
2023/8/29,10342,10342,107.95,
2023/8/30,10424,10424,108.79,
2023/8/31,10441,10441,109.53,
2023/9/1,10426,10426,109.33,
2023/9/4,10443,10443,109.43,
2023/9/5,10446,10446,110.49,
2023/9/6,10439,10439,110.41,
2023/9/7,10396,10396,110.04,
2023/9/8,10358,10358,109.64,
2023/9/11,10364,10364,109.73,
2023/9/12,10386,10386,114.4,
2023/9/13,10376,10376,114.59,
2023/9/14,10377,10377,114.61,
2023/9/15,10446,10446,115.35,
2023/9/19,10372,10372,114.52,
2023/9/20,10351,10351,114.48,
2023/9/21,10327,10327,114.31,
2023/9/22,10196,10196,113.05,
2023/9/25,10216,10216,113.32,
2023/9/26,10215,10215,113.34,
2023/9/27,10141,10141,112.97,
2023/9/28,10138,10138,113.08,
2023/9/29,10153,10153,113.49,
2023/10/2,10158,10158,113.88,
2023/10/3,10122,10122,113.47,
2023/10/4,10002,10002,113.34,
2023/10/5,10038,10038,113.78,
2023/10/6,10039,10039,113.78,
2023/10/10,10126,10126,114.87,
2023/10/11,10187,10187,115.59,
2023/10/12,10245,10245,121.46,
2023/10/13,10198,10198,120.94,
2023/10/16,10163,10163,120.53,
2023/10/17,10204,10204,121,
2023/10/18,10185,10185,121.06,
2023/10/19,10090,10090,120,
2023/10/20,10028,10028,119.27,
2023/10/23,9966,9966,118.49,
2023/10/24,9960,9960,118.64,
2023/10/25,10020,10020,119.42,
2023/10/26,9936,9936,118.35,
2023/10/27,9909,9909,118.49,
2023/10/30,9868,9868,118.15,
2023/10/31,9914,9914,118.98,
2023/11/1,9993,9993,120.25,
2023/11/2,10052,10052,120.96,
2023/11/6,10230,10230,124.37,
2023/11/7,10225,10225,124.35,
2023/11/8,10258,10258,124.91,
2023/11/9,10287,10287,125.23,
2023/11/10,10239,10239,130.04,
2023/11/13,10306,10306,130.87,
2023/11/14,10307,10307,131.16,
2023/11/15,10438,10438,132.89,
2023/11/16,10457,10457,133.12,
2023/11/17,10456,10456,133.32,
2023/11/20,10448,10448,133.13,
2023/11/21,10445,10445,133,
2023/11/22,10442,10442,133.13,
2023/11/24,10487,10487,133.74,
2023/11/27,10477,10477,133.64,
2023/11/28,10450,10450,133.31,
